Sandro Mamukelashvili,JR,2019-20,F,Seton Hall,Big East,18,458,84,156,65,110,19,46,24,37,37,60,97,25,10,11,25,43,211,25.4,4.7,8.7,3.6,6.1,1.1,2.6,1.3,2.1,2.1,3.3,5.4,1.4,0.6,0.6,1.4,2.4,11.7
Myles Cale,JR,2019-20,G,Seton Hall,Big East,28,645,64,164,41,83,23,81,21,36,23,84,107,25,30,3,32,46,172,23.0,2.3,5.9,1.5,3.0,0.8,2.9,0.8,1.3,0.8,3.0,3.8,0.9,1.1,0.1,1.1,1.6,6.1
Devin Vassell,SO,2019-20,G,Florida State,ACC,28,808,136,277,93,176,43,101,47,64,36,110,146,46,39,28,23,54,362,28.9,4.9,9.9,3.3,6.3,1.5,3.6,1.7,2.3,1.3,3.9,5.2,1.6,1.4,1.0,0.8,1.9,12.9
Trent Forrest,SR,2019-20,G,Florida State,ACC,29,907,121,260,105,208,16,52,80,96,32,94,126,120,58,18,88,43,338,31.3,4.2,9.0,3.6,7.2,0.6,1.8,2.8,3.3,1.1,3.2,4.3,4.1,2.0,0.6,3.0,1.5,11.7
Patrick Williams,FR,2019-20,F,Florida State,ACC,27,604,89,192,73,145,16,47,59,68,34,69,103,27,26,28,47,46,253,22.4,3.3,7.1,2.7,5.4,0.6,1.7,2.2,2.5,1.3,2.6,3.8,1.0,1.0,1.0,1.7,1.7,9.4
M.J. Walker,JR,2019-20,G,Florida State,ACC,24,608,77,212,38,101,39,111,56,71,6,36,42,36,18,6,37,52,249,25.3,3.2,8.8,1.6,4.2,1.6,4.6,2.3,3.0,0.3,1.5,1.8,1.5,0.8,0.3,1.5,2.2,10.4
Anthony Polite,SO,2019-20,G,Florida State,ACC,29,589,62,152,29,58,33,94,19,28,24,64,88,34,35,7,32,44,176,20.3,2.1,5.2,1.0,2.0,1.1,3.2,0.7,1.0,0.8,2.2,3.0,1.2,1.2,0.2,1.1,1.5,6.1
Jake Toolson,SR,2019-20,G,Brigham Young,WCC,31,1039,168,355,86,181,82,174,57,72,15,131,146,125,33,13,60,44,475,33.5,5.4,11.5,2.8,5.8,2.6,5.6,1.8,2.3,0.5,4.2,4.7,4.0,1.1,0.4,1.9,1.4,15.3
TJ Haws,SR,2019-20,G,Brigham Young,WCC,31,1006,161,341,103,187,58,154,64,84,8,68,76,179,42,7,80,55,444,32.5,5.2,11.0,3.3,6.0,1.9,5.0,2.1,2.7,0.3,2.2,2.5,5.8,1.4,0.2,2.6,1.8,14.3
Yoeli Childs,SR,2019-20,F,Brigham Young,WCC,18,514,167,285,147,244,20,41,45,83,36,125,161,38,14,17,40,48,399,28.6,9.3,15.8,8.2,13.6,1.1,2.3,2.5,4.6,2.0,6.9,8.9,2.1,0.8,0.9,2.2,2.7,22.2
Alex Barcello,JR,2019-20,G,Brigham Young,WCC,31,931,107,217,55,110,52,107,29,33,12,85,97,55,30,3,30,58,295,30.0,3.5,7.0,1.8,3.5,1.7,3.5,0.9,1.1,0.4,2.7,3.1,1.8,1.0,0.1,1.0,1.9,9.5
Dalton Nixon,SR,2019-20,F,Brigham Young,WCC,28,628,82,161,58,98,24,63,23,37,28,93,121,42,18,10,28,78,211,22.4,2.9,5.8,2.1,3.5,0.9,2.3,0.8,1.3,1.0,3.3,4.3,1.5,0.6,0.4,1.0,2.8,7.5
Connor Harding,SO,2019-20,G,Brigham Young,WCC,31,705,71,137,37,60,34,77,18,27,12,89,101,43,11,1,24,53,194,22.7,2.3,4.4,1.2,1.9,1.1,2.5,0.6,0.9,0.4,2.9,3.3,1.4,0.4,0.0,0.8,1.7,6.3
Lamar Stevens,SR,2019-20,F,Penn State,Big Ten,29,890,184,415,161,331,23,84,123,169,37,164,201,62,34,34,75,75,514,30.7,6.3,14.3,5.6,11.4,0.8,2.9,4.2,5.8,1.3,5.7,6.9,2.1,1.2,1.2,2.6,2.6,17.7
Myreon Jones,SO,2019-20,G,Penn State,Big Ten,23,671,112,249,60,120,52,129,38,49,11,55,66,67,30,4,36,35,314,29.2,4.9,10.8,2.6,5.2,2.3,5.6,1.7,2.1,0.5,2.4,2.9,2.9,1.3,0.2,1.6,1.5,13.7
Mike Watkins,SR,2019-20,F,Penn State,Big Ten,29,607,117,214,117,211,0,3,44,81,65,154,219,15,24,66,32,64,278,20.9,4.0,7.4,4.0,7.3,0.0,0.1,1.5,2.8,2.2,5.3,7.6,0.5,0.8,2.3,1.1,2.2,9.6
